signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_HYPOXIA	Hallmark Hypoxia	CASP6	CASP6	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CAV1	CAV1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CAVIN1	CAVIN1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CAVIN3	CAVIN3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CCN1	CCN1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CCN2	CCN2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CCN5	CCN5	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CCNG2	CCNG2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CDKN1A	CDKN1A	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CDKN1B	CDKN1B	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CDKN1C	CDKN1C	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CHST2	CHST2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CHST3	CHST3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CITED2	CITED2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	COL5A1	COL5A1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CP	CP	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CSRP2	CSRP2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CXCR4	CXCR4	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DCN	DCN	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DDIT3	DDIT3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DDIT4	DDIT4	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DPYSL4	DPYSL4	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DTNA	DTNA	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	DUSP1	DUSP1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	EDN2	EDN2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	EFNA1	EFNA1	MSigDB Hallmark Hypoxia
